candidate_id,branch_type,source_keyframe_id,target_keyframe_id,source_scan_index,target_scan_index,source_processed_index,target_processed_index,source_timestamp,target_timestamp,source_fraction,target_fraction,keyframe_gap,path_gap_m,pose_distance_m,pose_angle_diff_rad,descriptor_error,descriptor_shift_rad,relative_pose_init_dx,relative_pose_init_dy,relative_pose_init_dtheta,relative_pose_icp_dx,relative_pose_icp_dy,relative_pose_icp_dtheta,mean_residual_m,inlier_ratio,translation_correction_m,rotation_correction_rad,score,accepted_before_dedup,accepted_final,accepted_loop_id,rejection_reason
0,local,10,1,424,2,212,1,1774268128.632535,1774268092.123623,0.02824858757062147,0.002824858757062147,9,8.059887423885673,1.3892848728056426,0.579912812782166,,,1.301652516913161,-0.48560599565926266,0.5799128127821662,1.301652516913161,-0.48560599565926266,0.5799128127821662,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
1,local,11,1,434,2,217,1,1774268129.495977,1774268092.123623,0.031073446327683617,0.002824858757062147,10,8.339131646040332,1.2463825366874806,0.3713711197089913,,,1.1959152730759794,-0.3510784632858073,0.3713711197089912,1.1959152730759794,-0.3510784632858073,0.3713711197089912,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
2,local,12,1,448,2,224,1,1774268130.706576,1774268092.123623,0.03389830508474576,0.002824858757062147,11,8.575884895306785,1.2393539347594378,0.17062142475854714,,,1.1875563612498103,-0.3545533309092024,0.17062142475854716,1.1875563612498103,-0.3545533309092024,0.17062142475854716,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
3,local,13,2,462,42,231,21,1774268131.916675,1774268095.574426,0.03672316384180791,0.005649717514124294,11,8.052105248980945,1.2929493949016146,0.0022252289697652916,,,1.1912017977375353,-0.502748858619606,0.0022252289697653822,1.1912017977375353,-0.502748858619606,0.0022252289697653822,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
4,local,13,1,462,2,231,1,1774268131.916675,1774268092.123623,0.03672316384180791,0.002824858757062147,12,8.875987716925309,1.3368491400381048,0.15806361918174464,,,1.2141812169063224,-0.5594011045149112,0.1580636191817446,1.2141812169063224,-0.5594011045149112,0.1580636191817446,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
5,local,14,2,468,42,234,21,1774268132.432794,1774268095.574426,0.03954802259887006,0.005649717514124294,12,8.261366540079104,1.4742975602296031,0.18562638800283326,,,1.394826515808128,-0.4775063213168167,0.18562638800283315,1.394826515808128,-0.4775063213168167,0.18562638800283315,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
6,local,14,1,468,2,234,1,1774268132.432794,1774268092.123623,0.03954802259887006,0.002824858757062147,13,9.085249008023467,1.498324473214995,0.3414647782148126,,,1.41142050687896,-0.5028601990578809,0.3414647782148123,1.41142050687896,-0.5028601990578809,0.3414647782148123,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
7,local,15,2,474,42,237,21,1774268132.94911,1774268095.574426,0.0423728813559322,0.005649717514124294,13,8.56762848288638,1.3365616299717973,0.38624865654800433,,,1.2441554967156696,-0.4883380905735839,0.38624865654800455,1.2441554967156696,-0.4883380905735839,0.38624865654800455,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
8,local,15,1,474,2,237,1,1774268132.94911,1774268092.123623,0.0423728813559322,0.002824858757062147,14,9.391510950830746,1.373555867201011,0.5420870467599835,,,1.264256537846976,-0.5369461116662446,0.5420870467599838,1.264256537846976,-0.5369461116662446,0.5420870467599838,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
9,local,16,2,480,42,240,21,1774268133.464198,1774268095.574426,0.04519774011299435,0.005649717514124294,14,8.89030522936803,1.449200592128238,0.6534080275527059,,,1.301589916297129,-0.6372174244466873,0.6534080275527062,1.301589916297129,-0.6372174244466873,0.6534080275527062,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
10,local,24,3,572,334,286,167,1774268141.378581,1774268120.885891,0.06779661016949153,0.00847457627118644,21,8.340930137871956,2.9141571120633465,0.7698179139169246,,,2.912416822464812,-0.10069719963019264,0.7698179139169254,2.912416822464812,-0.10069719963019264,0.7698179139169254,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
11,local,25,3,576,334,288,167,1774268141.723069,1774268120.885891,0.07062146892655367,0.00847457627118644,22,8.683022744159564,3.063791787369956,0.7558595397600153,,,3.057905333819826,0.18982909616773913,0.7558595397600162,233415.25151468857,-69743.41358344918,0.06979763428596282,inf,0.0,243609.1589872953,0.6860619054740533,-inf,False,False,,below_inlier_ratio
12,local,26,3,580,334,290,167,1774268142.069153,1774268120.885891,0.07344632768361582,0.00847457627118644,23,8.897762087957299,3.2325930875335014,0.7703313428920264,,,3.2152959516641104,0.3339610947127949,0.7703313428920272,452351.35126347595,-135161.6384132247,-0.4797574356020794,inf,0.0,472109.7275945605,1.2500887784941066,-inf,False,False,,below_inlier_ratio
13,local,26,4,580,346,290,173,1774268142.069153,1774268121.918902,0.07344632768361582,0.011299435028248588,22,8.369499160457327,3.3281629139100306,0.6325479515632697,,,3.319241039378004,0.24353090981423842,0.6325479515632707,0.6802771054059398,0.9027195205790317,-0.05860779331881794,0.2415891994627543,0.013513513513513514,2.7200478432129334,0.6911557448820886,-0.5346382575146386,False,False,,below_inlier_ratio
14,local,27,3,584,334,292,167,1774268142.415744,1774268120.885891,0.07627118644067797,0.00847457627118644,24,9.103456160230857,3.4249054021843075,0.7740925695919141,,,3.399776130324154,0.41412471260405237,0.7740925695919149,388548.1714640785,-116097.30890781658,-0.3321609232701216,inf,0.0,405519.07587606483,1.1062534928620364,-inf,False,False,,below_inlier_ratio
15,local,27,4,584,346,292,173,1774268142.415744,1774268121.918902,0.07627118644067797,0.011299435028248588,23,8.575193232730886,3.525565867919872,0.6363091782631574,,,3.512983177219191,0.2975968508176414,0.6363091782631584,6.463572768888989,-0.9950054182417589,-1.1020598181681571,inf,0.0,3.221304016147444,1.7383689964313156,-inf,False,False,,below_inlier_ratio
16,local,28,4,592,346,296,173,1774268143.102055,1774268121.918902,0.07909604519774012,0.011299435028248588,24,8.85368767609775,3.6766793545863568,0.6522486181179965,,,3.6397292092285447,0.5199445739019888,0.6522486181179976,3.0562815059860253,-1.7110061046829705,0.25428117944356576,inf,0.0,2.3059818196806456,0.3979674386744318,-inf,False,False,,below_inlier_ratio
17,local,28,5,592,358,296,179,1774268143.102055,1774268122.953198,0.07909604519774012,0.014124293785310734,23,8.540271541028487,3.7651653068172157,0.5449159594941194,,,3.7472578920687205,0.3667806946782928,0.5449159594941198,-0.38478421114521666,4.864284090176232,-1.3469904408929252,0.12420092573972744,0.0136986301369863,6.107479736785718,1.891906400387045,-0.8158455893006653,False,False,,below_inlier_ratio
18,local,29,3,598,334,299,167,1774268143.616261,1774268120.885891,0.08192090395480225,0.00847457627118644,26,9.63168497635686,3.797566125068177,0.7796096159419132,,,3.7231560210323966,0.7480760103863502,0.779609615941914,322584.76909543516,-96387.57626743219,-0.1498412729993277,inf,0.0,336673.7891031957,0.9294508889412418,-inf,False,False,,below_inlier_ratio
19,local,29,4,598,346,299,173,1774268143.616261,1774268121.918902,0.08192090395480225,0.011299435028248588,25,9.103422048856888,3.9228747095657073,0.6418262246131565,,,3.8791658500503505,0.5839677172185096,0.6418262246131576,-6.724037670039145,3.6788002317504875,0.4097732480711752,inf,0.0,11.045628691090544,0.23205297654198243,-inf,False,False,,below_inlier_ratio
20,local,29,5,598,358,299,179,1774268143.616261,1774268122.953198,0.08192090395480225,0.014124293785310734,24,8.790005913787626,4.012644319429655,0.5344935659892793,,,3.9921752531542722,0.4047853534328154,0.5344935659892798,-14.422593962676252,5.807031932154967,-0.40132909392650334,inf,0.0,19.190830971315826,0.9358226599157831,-inf,False,False,,below_inlier_ratio
21,local,30,6,602,366,301,183,1774268143.959282,1774268123.647403,0.0847457627118644,0.01694915254237288,24,8.622464585356415,3.8603317522638494,0.48148805187535393,,,3.821103790434044,0.5489326554934508,0.4814880518753543,-3.6465984878094986,-2.5365198443806594,2.34668333142971,inf,0.0,8.080012032507328,1.8651952795543556,-inf,False,False,,below_inlier_ratio
22,local,30,3,602,334,301,167,1774268143.959282,1774268120.885891,0.0847457627118644,0.00847457627118644,27,9.842775122308892,4.002618653423996,0.7139175506941711,,,3.913774453331434,0.8386451056245285,0.713917550694172,308435.057978779,-92159.64144345414,-0.17794282145404972,inf,0.0,321905.77007152786,0.8918603721482217,-inf,False,False,,below_inlier_ratio
23,local,30,4,602,346,301,173,1774268143.959282,1774268121.918902,0.0847457627118644,0.011299435028248588,26,9.31451219480892,4.131471624295054,0.5761341593654143,,,4.0804172385038076,0.6474974456136506,0.5761341593654155,4.0804172385038076,0.6474974456136506,0.5761341593654155,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
24,local,30,5,602,358,301,179,1774268143.959282,1774268122.953198,0.0847457627118644,0.014124293785310734,25,9.001096059739657,4.222734734599789,0.46880150074153715,,,4.199074245657403,0.44639009649889183,0.4688015007415377,-3.9741882254630685,-2.8136337500192408,2.3383065940438503,inf,0.0,8.79943037370563,1.8695050933023127,-inf,False,False,,below_inlier_ratio
25,local,31,7,606,372,303,186,1774268144.302017,1774268124.163428,0.08757062146892655,0.01977401129943503,24,8.575497641840728,3.8283643497151036,0.505018765031124,,,3.737549748680835,0.8289122211099351,0.5050187650311249,3.737549748680835,0.8289122211099351,0.5050187650311249,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
26,local,31,6,606,366,303,183,1774268144.302017,1774268123.647403,0.08757062146892655,0.01694915254237288,25,8.87912547999909,4.1156810868673075,0.45955554661692366,,,4.070016289862899,0.6113903900519992,0.4595555466169241,4.070016289862899,0.6113903900519992,0.4595555466169241,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
27,local,31,3,606,334,303,167,1774268144.302017,1774268120.885891,0.08757062146892655,0.00847457627118644,28,10.099436016951566,4.250681684170455,0.6919850454357409,,,4.141606946170782,0.9567584248764842,0.6919850454357419,4.141606946170782,0.9567584248764842,0.6919850454357419,0.2089586614329606,0.03125,0.0,0.0,-0.1777086614329606,False,False,,below_inlier_ratio
28,local,31,4,606,346,303,173,1774268144.302017,1774268121.918902,0.08757062146892655,0.011299435028248588,27,9.571173089451595,4.3840588301487635,0.5542016541069841,,,4.322313145234373,0.733199086701225,0.5542016541069853,4.322313145234373,0.733199086701225,0.5542016541069853,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
29,local,31,5,606,358,303,179,1774268144.302017,1774268122.953198,0.08757062146892655,0.014124293785310734,26,9.257756954382332,4.477407128917383,0.44686899548310693,,,4.448759066286424,0.5056850484388296,0.4468689954831075,4.448759066286424,0.5056850484388296,0.4468689954831075,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
30,local,32,7,612,372,306,186,1774268144.815936,1774268124.163428,0.0903954802259887,0.01977401129943503,25,8.888096934429027,4.124667324285115,0.5269993551532584,,,4.004526300627186,0.9882558593858748,0.5269993551532591,4.004526300627186,0.9882558593858748,0.5269993551532591,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
31,local,32,6,612,366,306,183,1774268144.815936,1774268123.647403,0.0903954802259887,0.01694915254237288,26,9.191724772587389,4.40967150811471,0.48153613673905804,,,4.343958761197526,0.7584359501592413,0.48153613673905843,4.343958761197526,0.7584359501592413,0.48153613673905843,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
32,local,32,3,612,334,306,167,1774268144.815936,1774268120.885891,0.0903954802259887,0.00847457627118644,29,10.412035309539865,4.526263450008405,0.7139656355578752,,,4.374312186044767,1.162950436563083,0.7139656355578761,4.374312186044767,1.162950436563083,0.7139656355578761,0.22562062061817392,0.014285714285714285,0.0,0.0,-0.21133490633245963,False,False,,below_inlier_ratio
33,local,32,4,612,346,306,173,1774268144.815936,1774268121.918902,0.0903954802259887,0.011299435028248588,28,9.883772382039894,4.669760771691074,0.5761822442291185,,,4.5811330386070015,0.9054754261757951,0.5761822442291196,4.5811330386070015,0.9054754261757951,0.5761822442291196,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
34,local,32,5,612,358,306,179,1774268144.815936,1774268122.953198,0.0903954802259887,0.014124293785310734,27,9.570356246970631,4.768945588333614,0.4688495856052413,,,4.724544943566974,0.6492434833730851,0.46884958560524176,4.724544943566974,0.6492434833730851,0.46884958560524176,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
35,local,33,8,616,382,308,191,1774268145.158416,1774268125.024163,0.09322033898305085,0.022598870056497175,25,8.832347203586746,4.133979696460096,0.4883564479948838,,,3.9829371427417364,1.1072487740849553,0.48835644799488453,3.9829371427417364,1.1072487740849553,0.48835644799488453,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
36,local,33,7,616,372,308,186,1774268145.158416,1774268124.163428,0.09322033898305085,0.01977401129943503,26,9.189360399773586,4.425761698341667,0.4882603856179326,,,4.294419667610469,1.070199200592371,0.4882603856179336,4.294419667610469,1.070199200592371,0.4882603856179336,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
37,local,33,6,616,366,308,183,1774268145.158416,1774268123.647403,0.09322033898305085,0.01694915254237288,27,9.492988237931947,4.710463063966363,0.4427971672037323,,,4.637276713674254,0.827119675624949,0.4427971672037329,4.637276713674254,0.827119675624949,0.4427971672037329,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
38,local,33,3,616,334,308,167,1774268145.158416,1774268120.885891,0.09322033898305085,0.00847457627118644,30,10.713298774884423,4.821735173557021,0.6752266660225495,,,4.643921944298514,1.2973507849381727,0.6752266660225505,4.643921944298514,1.2973507849381727,0.6752266660225505,0.18017988875959792,0.025974025974025976,0.0,0.0,-0.15420586278557194,False,False,,below_inlier_ratio
39,local,33,4,616,346,308,173,1774268145.158416,1774268121.918902,0.09322033898305085,0.011299435028248588,29,10.185035847384452,4.9686418243405885,0.5374432746937927,,,4.866647270888642,1.001571724510406,0.5374432746937939,4.866647270888642,1.001571724510406,0.5374432746937939,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
40,local,34,8,622,382,311,191,1774268145.674842,1774268125.024163,0.096045197740113,0.022598870056497175,26,9.286730027792682,4.529861042431807,0.43693310768237037,,,4.326953842697378,1.3405638764743018,0.4369331076823707,4.326953842697378,1.3405638764743018,0.4369331076823707,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
41,local,34,7,622,372,311,186,1774268145.674842,1774268124.163428,0.096045197740113,0.01977401129943503,27,9.643743223979522,4.818128601873207,0.43683704530541917,,,4.6384587787821,1.3034812548433465,0.43683704530541984,4.6384587787821,1.3034812548433465,0.43683704530541984,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
42,local,35,9,630,390,315,195,1774268146.363597,1774268125.710618,0.09887005649717515,0.025423728813559324,26,9.446430805949179,4.67083803097983,0.5529466695305922,,,4.2576894850610465,1.9206270227319453,0.5529466695305932,4.2576894850610465,1.9206270227319453,0.5529466695305932,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
43,local,35,8,630,382,315,191,1774268146.363597,1774268125.024163,0.09887005649717515,0.022598870056497175,27,9.746953109798486,4.960743657104972,0.45090035690368824,,,4.729470722904599,1.4970251543295776,0.45090035690368857,4.729470722904599,1.4970251543295776,0.45090035690368857,inf,0.0,0.0,0.0,-inf,False,False,,below_inlier_ratio
