keyframe_id,processed_index,scan_index,timestamp,original_x,original_y,original_theta,optimized_x,optimized_y,optimized_theta,correction_dx,correction_dy,correction_dtheta
0,0,0,1773837359.790777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,15,1773837360.994665,-0.3769285559358155,-0.02395388612119996,-0.07027059150658384,-0.37692855593653185,-0.02395388612214853,-0.07027059149322115,-1.0364487046388149e-12,4.0882124074936854e-12,1.336270142209889e-11
2,10,30,1773837362.175232,-0.17979520454923684,0.0642914105134495,-0.029619282104953508,-0.1797952045518487,0.06429141051417707,-0.02961928207813776,-8.878175972171221e-13,5.548922432652148e-12,2.6815740220860656e-11
3,12,36,1773837362.647025,0.0237542221327605,0.12130908733389884,-0.027897023807859075,0.02375422212790264,0.12130908733910932,-0.02789702376747098,4.157785227221211e-14,4.251099472440956e-12,4.0388096442674663e-11
4,15,45,1773837363.354457,0.23417950062276888,0.18688502730231915,-0.04867012714066252,0.23417950061454362,0.18688502731502954,-0.04867012708657039,1.8837431614571187e-12,4.313216450668733e-14,5.409212444077878e-11
5,17,51,1773837363.826534,0.4482432156692661,0.1947283566877688,-0.07650314201242821,0.4482432156598935,0.19472835671103247,-0.07650314194445607,3.863465103393082e-12,-7.204375984670719e-12,6.797215118713916e-11
6,18,54,1773837364.064102,0.667604328558099,0.20825072617318635,-0.09100157751047841,0.6676043285470794,0.20825072621030616,-0.09100157742843311,6.06648065115678e-12,-1.7653961625896386e-11,8.204529186081536e-11
7,20,60,1773837364.536344,0.8836472351288226,0.2009298848388589,-0.11200356844057813,0.88364723511767,0.20092988489262348,-0.11200356834424056,8.20465917428237e-12,-3.136380044566067e-11,9.633754029338907e-11
8,23,69,1773837365.245823,1.177247107699459,0.19575694768610993,-0.13200930573785935,1.1773510018003157,0.19926981800980553,-0.14748822800043765,-0.0027850618334313015,0.02175811004334957,-0.015478922262578278
9,26,78,1773837365.953307,1.4532944508234604,0.17827937646236108,-0.12393907019084015,1.453198646470528,0.1810344660355938,-0.15554418915240253,-0.005003631720182478,0.04876802000526537,-0.031605118961562394
10,29,87,1773837366.66386,1.6929838202395986,0.16338699407738938,-0.1343406960140044,1.6924016119167944,0.16208824121270407,-0.18263351658069646,-0.006495758634144089,0.08061892329597145,-0.048292820566692075
