processed_index,scan_index,timestamp,original_x,original_y,original_theta,optimized_x,optimized_y,optimized_theta
0,0,1773837359.790777,0.0,0.0,0.0,0.0,0.0,0.0
1,3,1773837360.036302,0.09337732811708521,0.034404478663411966,-0.013257090544612094,0.09337732811678597,0.03440447866447917,-0.013257090541939555
2,6,1773837360.278349,0.06072730880157085,0.008969674681844947,0.008796176250897797,0.06072730880110833,0.008969674683804826,0.008796176256242877
3,9,1773837360.51855,0.04118456637271448,0.0068987850168761395,0.009262023519225882,0.0411845663720373,0.006898785019659269,0.009262023527243504
4,12,1773837360.756797,0.042299942361124936,0.01572223496169894,-0.004309453467598269,0.042299942360127706,0.015722234965421706,-0.004309453456908108
5,15,1773837360.994665,-0.3769285559358155,-0.02395388612119996,-0.07027059150658384,-0.37692855593653185,-0.02395388612214853,-0.07027059149322112
6,18,1773837361.231315,-0.2705969999142429,0.0075943530371123565,-0.06808242676251842,-0.27059699991537156,0.007594353037148734,-0.06808242674646511
7,21,1773837361.46787,-0.2576126995021912,0.020796622375290116,-0.049010262351747325,-0.257612699503558,0.02079662237513394,-0.04901026233300341
8,24,1773837361.704287,-0.24830235453130442,0.03695307714112713,-0.04836179088610551,-0.24830235453304375,0.03695307714076953,-0.04836179086467099
9,27,1773837361.940263,-0.26253318516104646,0.05658753405253256,-0.04090732905633273,-0.2625331851633292,0.056587534051455696,-0.0409073290322076
10,30,1773837362.175232,-0.17979520454923684,0.0642914105134495,-0.029619282104953508,-0.17979520455184866,0.06429141051417708,-0.029619282078137767
11,33,1773837362.411259,-0.08204782120585781,0.09378038864794945,-0.03699431171805978,-0.08204782120943213,0.0937803886500925,-0.03699431168445787
12,36,1773837362.647025,0.0237542221327605,0.12130908733389884,-0.027897023807859075,0.023754222127902635,0.12130908733910932,-0.02789702376747098
13,39,1773837362.882996,0.03320273474836678,0.14423634570986196,-0.0342362131375193,0.03320273474253811,0.14423634571420307,-0.034236213092563195
14,42,1773837363.119194,0.11250428966444488,0.1782031762320492,-0.03501581333242601,0.11250428965688922,0.17820317623906667,-0.035015813282901896
15,45,1773837363.354457,0.23417950062276888,0.18688502730231915,-0.04867012714066252,0.23417950061454362,0.18688502731502954,-0.04867012708657039
16,48,1773837363.590818,0.38918205247284215,0.1951298926218008,-0.07066192475942623,0.38918205246380655,0.19512989264197278,-0.0706619246983941
17,51,1773837363.826534,0.4482432156692661,0.1947283566877688,-0.07650314201242821,0.4482432156598935,0.19472835671103247,-0.07650314194445605
18,54,1773837364.064102,0.667604328558099,0.20825072617318635,-0.09100157751047841,0.6676043285470795,0.2082507262103062,-0.09100157742843311
19,57,1773837364.300646,0.8147906624731761,0.20553831763672725,-0.11921456963089341,0.8147906624619794,0.20553831768489073,-0.119214569541702
20,60,1773837364.536344,0.8836472351288226,0.2009298848388589,-0.11200356844057813,0.8836472351176702,0.2009298848926235,-0.11200356834424058
21,63,1773837364.772637,0.876129693981556,0.1826745990485819,-0.09028058999794855,0.8761322090656217,0.18540437644778052,-0.09544023068791628
