keyframe_id,processed_index,scan_index,timestamp,original_x,original_y,original_theta,optimized_x,optimized_y,optimized_theta,correction_dx,correction_dy,correction_dtheta
0,0,0,1773837359.790777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5,15,1773837360.994665,-0.3769285559358155,-0.02395388612119996,-0.07027059150658384,-0.3769285559358155,-0.02395388612119996,-0.07027059150658384,5.551115123125783e-17,3.469446951953614e-18,2.3470944752955073e-18
2,10,30,1773837362.175232,-0.17979520454923684,0.0642914105134495,-0.029619282104953508,-0.17979520454923684,0.0642914105134495,-0.029619282104953508,0.0,0.0,-2.960418461940634e-18
3,12,36,1773837362.647025,0.0237542221327605,0.12130908733389884,-0.027897023807859075,0.0237542221327605,0.12130908733389884,-0.027897023807859075,-3.469446951953614e-18,0.0,4.488913819197543e-19
4,15,45,1773837363.354457,0.23417950062276888,0.18688502730231915,-0.04867012714066252,0.23417950062276888,0.18688502730231915,-0.04867012714066252,-2.7755575615628914e-17,0.0,-5.194147072162048e-19
5,17,51,1773837363.826534,0.4482432156692661,0.1947283566877688,-0.07650314201242821,0.4482432156692661,0.1947283566877688,-0.07650314201242821,0.0,2.7755575615628914e-17,1.5449326758320503e-18
6,18,54,1773837364.064102,0.667604328558099,0.20825072617318635,-0.09100157751047841,0.667604328558099,0.20825072617318635,-0.09100157751047841,1.1102230246251565e-16,2.7755575615628914e-17,-4.9622331198604825e-18
7,20,60,1773837364.536344,0.8836472351288226,0.2009298848388589,-0.11200356844057813,0.8836472351288226,0.2009298848388589,-0.11200356844057813,1.1102230246251565e-16,2.7755575615628914e-17,-1.915482886762061e-17
8,23,69,1773837365.245823,1.177247107699459,0.19575694768610993,-0.13200930573785935,1.177247107699459,0.19575694768610993,-0.13200930573785935,0.0,0.0,6.284612847835991e-18
9,26,78,1773837365.953307,1.4532944508234604,0.17827937646236108,-0.12393907019084015,1.4532944508234604,0.17827937646236108,-0.12393907019084015,0.0,5.551115123125783e-17,-1.184771813969208e-17
10,29,87,1773837366.66386,1.6929838202395986,0.16338699407738938,-0.1343406960140044,1.6929838202395986,0.16338699407738938,-0.1343406960140044,0.0,0.0,-4.228380283399648e-18
11,31,93,1773837367.136303,1.9312413586045571,0.1651860094799004,-0.1406668659515276,1.9312413586045571,0.1651860094799004,-0.1406668659515276,0.0,-5.551115123125783e-17,2.0555694878631953e-17
12,33,99,1773837367.610543,2.246397116921817,0.13234853706509045,-0.13922742284918976,2.246397116921817,0.13234853706509045,-0.13922742284918976,-4.440892098500626e-16,-2.7755575615628914e-17,-5.0699227205728824e-18
13,36,108,1773837368.321232,2.459107321347046,0.12540132562735642,-0.13823313276631918,2.459107321347046,0.12540132562735642,-0.13823313276631918,0.0,-2.7755575615628914e-17,-2.7103508345332446e-17
14,38,114,1773837368.794329,2.7798149116367235,0.09962233798758557,-0.14579913854867,2.7798149116367235,0.09962233798758557,-0.14579913854867,0.0,-1.3877787807814457e-17,3.1290219432688686e-18
15,41,123,1773837369.502277,3.0231264459751115,0.08829467906717439,-0.1369876673311068,3.0231264459751115,0.08829467906717439,-0.1369876673311068,0.0,8.326672684688674e-17,-2.779763618658791e-17
16,43,129,1773837369.975641,3.260039889502815,0.08054250761517517,-0.13267781259850878,3.260039889502815,0.08054250761517517,-0.13267781259850878,-4.440892098500626e-16,6.938893903907228e-17,-7.314740031354907e-18
17,45,135,1773837370.447274,3.476512944126817,0.06938778430766078,-0.12186514456871758,3.476512944126817,0.06938778430766078,-0.12186514456871758,-4.440892098500626e-16,1.3877787807814457e-17,-2.0435335154939493e-17
18,47,141,1773837370.919218,3.7516679334778185,0.03452002207625105,-0.09769921844689392,3.7516679334778185,0.03452002207625105,-0.09769921844689392,0.0,6.938893903907228e-18,1.7373748833123225e-17
19,49,147,1773837371.391479,3.967262552969629,0.025844003897855055,-0.09039081468797029,3.967262552969629,0.025844003897855055,-0.09039081468797029,0.0,1.734723475976807e-17,-5.233992628846615e-19
20,51,153,1773837371.865477,4.295271212612728,-0.006340437674705696,-0.10272751226470782,4.295271212612728,-0.006340437674705696,-0.10272751226470782,8.881784197001252e-16,6.158268339717665e-17,-4.143244142067024e-18
21,53,159,1773837372.336665,4.537287650110235,-0.0490978094846936,-0.1504489085904761,4.537287650110235,-0.0490978094846936,-0.1504489085904761,0.0,-4.163336342344337e-17,1.3629403320293098e-17
22,55,165,1773837372.809982,4.759155870515303,-0.04293495970420896,-0.1676464281366026,4.759155870515303,-0.04293495970420896,-0.1676464281366026,0.0,-6.938893903907228e-18,-1.0427971788597442e-17
23,57,171,1773837373.281631,4.987850926731714,-0.11516359884057198,-0.13068910838464895,4.987850926731714,-0.11516359884057198,-0.13068910838464895,-8.881784197001252e-16,-8.326672684688674e-17,5.097408112816022e-18
24,60,180,1773837373.989556,5.324802077009456,-0.14497511508658414,-0.19824684775949,5.324802077009456,-0.14497511508658414,-0.19824684775949,0.0,-2.498001805406602e-16,1.0258252937050795e-17
25,62,186,1773837374.459519,5.536932903341173,-0.2752590762514926,-0.37967772060450555,5.536932903341173,-0.2752590762514926,-0.37967772060450555,-8.881784197001252e-16,0.0,-1.661065566031394e-17
26,64,192,1773837374.931854,5.693337659204094,-0.44125433385437535,-0.521298977059446,5.693337659204094,-0.44125433385437535,-0.521298977059446,0.0,4.440892098500626e-16,-1.2087692103184662e-16
27,66,198,1773837375.404365,5.883087697592575,-0.638468699258447,-0.6866569031601111,5.883087697592575,-0.638468699258447,-0.6866569031601111,0.0,1.1102230246251565e-16,2.1964773193161077e-17
28,68,204,1773837375.875581,5.979731536650916,-0.8222663985827685,-0.8037928740474819,5.979731536650916,-0.8222663985827685,-0.8037928740474819,0.0,1.1102230246251565e-16,1.645656944849435e-17
29,70,210,1773837376.347837,6.127592444136442,-1.0579361668608407,-0.9714437203283279,6.127592444136442,-1.0579361668608407,-0.9714437203283279,8.881784197001252e-16,0.0,-6.480406831333658e-17
30,72,216,1773837376.818386,6.2099944507480425,-1.2846786723303938,-1.1006821220974625,6.2099944507480425,-1.2846786723303938,-1.1006821220974625,0.0,4.440892098500626e-16,-2.3598234387954616e-17
31,74,222,1773837377.289685,6.234181318228441,-1.522916506513545,-1.238650607263316,6.234181318228441,-1.522916506513545,-1.238650607263316,-8.881784197001252e-16,-2.220446049250313e-16,1.2251358055771256e-17
32,76,228,1773837377.760492,6.274201329442316,-1.738696613626442,-1.3445394208200623,6.274201329442316,-1.738696613626442,-1.3445394208200623,0.0,2.220446049250313e-16,-2.8324147378338564e-17
33,79,237,1773837378.471029,6.20005393325556,-2.0175079883122145,-1.4606897647022534,6.20005393325556,-2.0175079883122145,-1.4606897647022534,8.881784197001252e-16,0.0,4.693479567109372e-18
34,82,246,1773837379.179114,6.151780959671314,-2.2895912275188217,-1.537332463002783,6.151780959671314,-2.2895912275188217,-1.537332463002783,0.0,-4.440892098500626e-16,6.259624435482513e-18
35,84,252,1773837379.651338,6.1120982395049435,-2.5007329362898725,-1.5381656195637345,6.1120982395049435,-2.5007329362898725,-1.5381656195637345,-8.881784197001252e-16,0.0,2.2159505686193384e-18
36,86,258,1773837380.123886,6.131530015481201,-2.7745567146394077,-1.5902370932998442,6.131530015481201,-2.7745567146394077,-1.5902370932998442,0.0,4.440892098500626e-16,7.331978499523475e-19
37,88,264,1773837380.596013,6.158914713579163,-3.060886597856211,-1.60212205275121,6.158914713579163,-3.060886597856211,-1.60212205275121,0.0,0.0,-3.0401262682017035e-18
38,90,270,1773837381.068806,6.163962778614508,-3.314856132255507,-1.5741067366199057,6.163962778614508,-3.314856132255507,-1.5741067366199057,8.881784197001252e-16,4.440892098500626e-16,3.18678369209352e-19
39,92,276,1773837381.539491,6.177282300958036,-3.5782165052959156,-1.594118943157137,6.177282300958036,-3.5782165052959156,-1.594118943157137,-8.881784197001252e-16,4.440892098500626e-16,2.315502015998987e-20
40,94,282,1773837382.009613,6.169019725907347,-3.8114619687963747,-1.6324615721180027,6.169019725907347,-3.8114619687963747,-1.6324615721180027,0.0,4.440892098500626e-16,-3.118543493732247e-18
41,96,288,1773837382.480744,6.134692432870991,-4.0621029692291915,-1.7013546706636038,6.134692432870991,-4.0621029692291915,-1.7013546706636038,-8.881784197001252e-16,8.881784197001252e-16,1.2280613030983058e-17
42,98,294,1773837382.951176,6.07437836661978,-4.293909873831979,-1.7754179406566923,6.07437836661978,-4.293909873831979,-1.7754179406566923,8.881784197001252e-16,8.881784197001252e-16,-4.711375185485413e-18
43,100,300,1773837383.422542,6.026016118660151,-4.523969920739152,-1.8861020698426556,6.026016118660151,-4.523969920739152,-1.8861020698426556,8.881784197001252e-16,0.0,1.8558979664788176e-17
44,102,306,1773837383.894226,5.926508962627523,-4.725123470035313,-1.8791164433419363,5.926508962627523,-4.725123470035313,-1.8791164433419363,0.0,0.0,-2.0793864091779098e-17
45,104,312,1773837384.366156,5.767641717072332,-4.953451907540171,-1.9064057209546177,5.767641717072332,-4.953451907540171,-1.9064057209546177,0.0,-8.881784197001252e-16,-4.58048749006611e-17
46,107,321,1773837385.073551,5.741925400910079,-5.1808459722544065,-1.9693360625512437,5.741925400910079,-5.1808459722544065,-1.9693360625512437,-8.881784197001252e-16,0.0,5.983520888991674e-17
47,110,330,1773837385.77925,5.569864069596443,-5.404257748041027,-2.127935815860779,5.569864069596443,-5.404257748041027,-2.127935815860779,-8.881784197001252e-16,0.0,-4.974893799907055e-18
48,113,339,1773837386.487278,5.348055845402362,-5.612548551932042,-2.334222606486282,5.348055845402362,-5.612548551932042,-2.334222606486282,-8.881784197001252e-16,0.0,-1.3922616398227836e-17
49,115,345,1773837386.958815,5.165883690091021,-5.710045607773715,-2.460482957780413,5.165883690091021,-5.710045607773715,-2.460482957780413,0.0,1.7763568394002505e-15,-1.4105080644541628e-16
50,118,354,1773837387.667227,4.858170004483242,-5.780181830717638,-2.5922732729663913,4.858170004483242,-5.780181830717638,-2.5922732729663913,0.0,8.881784197001252e-16,-4.195262407862468e-17
51,120,360,1773837388.140618,4.596902176461037,-5.879476237916249,-2.7436204986399932,4.596902176461037,-5.879476237916249,-2.7436204986399932,0.0,0.0,5.052315301328049e-17
52,123,369,1773837388.848099,4.321284412660179,-5.963805451423071,-2.8290681780153037,4.321284412660179,-5.963805451423071,-2.8290681780153037,0.0,-8.881784197001252e-16,2.5170376159994722e-17
53,125,375,1773837389.318985,4.042576129182747,-6.115072658181054,-2.902143850459903,4.042576129182747,-6.115072658181054,-2.902143850459903,0.0,-8.881784197001252e-16,-1.1009781681453943e-17
54,127,381,1773837389.79011,3.7818929239579173,-6.182891734655862,-2.8981872696723507,3.7818929239579173,-6.182891734655862,-2.8981872696723507,0.0,0.0,-3.457157339729166e-17
55,129,387,1773837390.261693,3.5652220594750683,-6.265778339384928,-2.8706651283984645,3.5652220594750683,-6.265778339384928,-2.8706651283984645,0.0,-8.881784197001252e-16,5.180268483902345e-18
56,131,393,1773837390.734811,3.2805196329470343,-6.316197482919092,-2.8755862846038767,3.2805196329470343,-6.316197482919092,-2.8755862846038767,0.0,0.0,-8.589543458011447e-18
57,133,399,1773837391.205594,3.0356320027844763,-6.404947183380491,-2.9380233514063225,3.0356320027844763,-6.404947183380491,-2.9380233514063225,4.440892098500626e-16,8.881784197001252e-16,-3.419435663244899e-17
58,135,405,1773837391.677463,2.7888417547922555,-6.459854978842194,-2.9499712100979227,2.7888417547922555,-6.459854978842194,-2.9499712100979227,0.0,0.0,-5.8713315641192335e-18
59,137,411,1773837392.148059,2.4528973469359956,-6.5694868244318,-2.986167179740322,2.4528973469359956,-6.5694868244318,-2.986167179740322,0.0,8.881784197001252e-16,4.476376201286292e-18
60,140,420,1773837392.855469,2.136480904386409,-6.633886851059157,-2.997586836092478,2.136480904386409,-6.633886851059157,-2.997586836092478,0.0,0.0,-2.854310678718099e-17
61,142,426,1773837393.327113,1.877833439407912,-6.680524271954127,-2.997177469530755,1.877833439407912,-6.680524271954127,-2.997177469530755,2.220446049250313e-16,0.0,2.7313272148752164e-18
62,144,432,1773837393.797069,1.5952974646449256,-6.753547942267216,-3.0358172246514945,1.5952974646449256,-6.753547942267216,-3.0358172246514945,0.0,0.0,-4.2158928985632685e-18
63,146,438,1773837394.267588,1.3342932886160719,-6.805101457140792,-3.039357845904354,1.3342932886160719,-6.805101457140792,-3.039357845904354,0.0,8.881784197001252e-16,-5.133314549210025e-18
64,148,444,1773837394.738412,1.0861739243375865,-6.808280575210205,-3.036514375381391,1.0861739243375865,-6.808280575210205,-3.036514375381391,0.0,-8.881784197001252e-16,2.0529987642767634e-17
65,150,450,1773837395.209851,0.7988723168284005,-6.780731368090445,-3.0712445887156044,0.7988723168284005,-6.780731368090445,-3.0712445887156044,0.0,-1.7763568394002505e-15,2.143425326764376e-18
66,152,456,1773837395.68232,0.5332414661955365,-6.804279584197123,-3.137197165960542,0.5332414661955365,-6.804279584197123,-3.137197165960542,0.0,0.0,3.6052963475217845e-19
67,154,462,1773837396.155197,0.2566224090731401,-6.7683274908755955,3.0374522104281754,0.2566224090731401,-6.7683274908755955,3.0374522104281754,1.1102230246251565e-16,0.0,3.810546612258054e-18
68,156,468,1773837396.627226,-0.04063976941400088,-6.664343927112521,2.9007941934221297,-0.04063976941400088,-6.664343927112521,2.9007941934221297,-4.85722573273506e-17,-8.881784197001252e-16,-4.0591264170562355e-17
69,158,474,1773837397.098958,-0.29306797334966567,-6.541803077622392,2.7823646911837434,-0.29306797334966567,-6.541803077622392,2.7823646911837434,-1.1102230246251565e-16,8.881784197001252e-16,6.779484284538817e-17
70,160,480,1773837397.570114,-0.5435824017833627,-6.383540548844234,2.652367803228976,-0.5435824017833627,-6.383540548844234,2.652367803228976,0.0,8.881784197001252e-16,3.847802699938508e-18
