keyframe_id,processed_index,scan_index,timestamp,original_x,original_y,original_theta,optimized_x,optimized_y,optimized_theta,correction_dx,correction_dy,correction_dtheta
0,0,0,1774265766.515001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1774265766.715578,0.25170169693884864,0.06109997957982444,-0.19275583367086846,0.25170169693884864,0.06109997957982444,-0.19275583367086846,-5.551115123125783e-17,-6.938893903907228e-18,-2.724618960244407e-17
2,10,20,1774265768.386976,0.46928336594722636,0.021283310771156007,-0.2134923384236128,0.46928336594722636,0.021283310771156007,-0.2134923384236128,5.551115123125783e-17,1.734723475976807e-17,-1.7227350797463185e-17
3,14,28,1774265769.128131,0.7041536500696599,-0.03883750359164807,-0.25543224908758366,0.7041536500696599,-0.03883750359164807,-0.25543224908758366,1.1102230246251565e-16,-2.0816681711721685e-17,-3.332430782287436e-17
4,18,36,1774265769.865751,1.0005051979262105,-0.11054725798017379,-0.15808008572936844,1.0005051979262105,-0.11054725798017379,-0.15808008572936844,0.0,0.0,-3.666768023720502e-18
5,24,48,1774265770.972939,1.1866971339547305,-0.20098711841645883,-0.2143495900082434,1.1866971339547305,-0.20098711841645883,-0.2143495900082434,2.220446049250313e-16,2.7755575615628914e-17,-9.795664460520897e-18
6,28,56,1774265771.714619,1.427621279588462,-0.2069793224886017,-0.20453143691410489,1.427621279588462,-0.2069793224886017,-0.20453143691410489,-2.220446049250313e-16,0.0,3.2522898089924106e-18
7,32,64,1774265772.456966,1.6718719186094895,-0.17878405926344287,-0.17225610502316516,1.6718719186094895,-0.17878405926344287,-0.17225610502316516,-2.220446049250313e-16,2.7755575615628914e-17,-1.7159605393185696e-17
8,35,70,1774265773.011149,1.8917811749518536,-0.22904653416561407,-0.33438516072959035,1.8917811749518536,-0.22904653416561407,-0.33438516072959035,0.0,-8.326672684688674e-17,1.6140052224580227e-17
9,39,78,1774265773.750477,2.110194768842798,-0.33663783801647246,-0.4251840511390806,2.110194768842798,-0.33663783801647246,-0.4251840511390806,0.0,-5.551115123125783e-17,6.79724884683182e-17
