processed_index,scan_index,timestamp,original_x,original_y,original_theta,optimized_x,optimized_y,optimized_theta
0,0,1774265766.515001,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1774265766.715578,0.25170169693884864,0.06109997957982444,-0.19275583367086846,0.2517016969388486,0.06109997957982442,-0.1927558336708685
2,4,1774265766.896124,0.2487086075642119,0.05938724724563027,-0.17996786261695902,0.24870860756421184,0.059387247245630256,-0.17996786261695905
3,6,1774265767.083562,0.251142679178764,0.05477779874175832,-0.18162086405085484,0.25114267917876393,0.05477779874175831,-0.18162086405085487
4,8,1774265767.270847,0.2622192655514775,0.058186192669777544,-0.20435197703619912,0.2622192655514775,0.05818619266977754,-0.20435197703619914
5,10,1774265767.458018,0.2738848445316399,0.049284269956905186,-0.19046086803952253,0.2738848445316399,0.049284269956905186,-0.19046086803952256
6,12,1774265767.645258,0.3006987258349395,0.04509390985326731,-0.20599862825027196,0.3006987258349395,0.04509390985326731,-0.205998628250272
7,14,1774265767.830587,0.322586851876859,0.03977153518560013,-0.19496953900891406,0.322586851876859,0.03977153518560013,-0.1949695390089141
8,16,1774265768.015148,0.3643766524672269,0.03319804113253175,-0.21017632772425773,0.36437665246722695,0.033198041132531754,-0.21017632772425776
9,18,1774265768.20146,0.4257170471323744,0.03539853856934837,-0.19936203183349788,0.42571704713237446,0.035398538569348374,-0.1993620318334979
10,20,1774265768.386976,0.46928336594722636,0.021283310771156007,-0.2134923384236128,0.4692833659472264,0.021283310771156017,-0.21349233842361282
11,22,1774265768.572152,0.514060053925464,0.0047309174158340645,-0.25826176170420034,0.5140600539254641,0.004730917415834061,-0.25826176170420034
12,24,1774265768.757498,0.5757119822795272,-0.012049202701310309,-0.23693034808663668,0.5757119822795274,-0.012049202701310324,-0.2369303480866367
13,26,1774265768.942578,0.6438247246248848,-0.025025395188671105,-0.2545110379992759,0.6438247246248849,-0.025025395188671133,-0.25451103799927594
14,28,1774265769.128131,0.7041536500696599,-0.03883750359164807,-0.25543224908758366,0.70415365006966,-0.038837503591648115,-0.2554322490875837
15,30,1774265769.313069,0.7664609311053021,-0.05482153868793892,-0.28036249446379363,0.7664609311053022,-0.05482153868793895,-0.28036249446379363
16,32,1774265769.49759,0.8106119792839164,-0.07084106163959486,-0.2762385793600856,0.8106119792839164,-0.07084106163959489,-0.2762385793600856
17,34,1774265769.681962,0.8973959607056655,-0.07811477944516045,-0.22540497598517112,0.8973959607056655,-0.07811477944516046,-0.22540497598517112
18,36,1774265769.865751,1.0005051979262105,-0.11054725798017379,-0.15808008572936844,1.0005051979262105,-0.11054725798017379,-0.15808008572936844
19,38,1774265770.049554,1.0482908028576872,-0.1135212347661382,-0.1361391792383053,1.0482908028576872,-0.1135212347661382,-0.1361391792383053
20,40,1774265770.235197,1.072813989980229,-0.12157114994608928,-0.13219614387367842,1.072813989980229,-0.12157114994608927,-0.13219614387367842
21,42,1774265770.419716,1.1064205279449741,-0.16405429656703166,-0.2383456457833513,1.1064205279449744,-0.16405429656703163,-0.2383456457833513
22,44,1774265770.603598,1.1434488116769173,-0.18433479310804568,-0.18335954576987626,1.1434488116769175,-0.18433479310804565,-0.18335954576987626
23,46,1774265770.78799,1.161135821061118,-0.200281582387203,-0.1989141611851622,1.1611358210611182,-0.20028158238720298,-0.1989141611851622
24,48,1774265770.972939,1.1866971339547305,-0.20098711841645883,-0.2143495900082434,1.1866971339547308,-0.2009871184164588,-0.2143495900082434
25,50,1774265771.158399,1.2416442049195353,-0.2053197542393731,-0.21498783865723897,1.2416442049195355,-0.20531975423937307,-0.21498783865723897
26,52,1774265771.344301,1.299811189947968,-0.20615165257004506,-0.19979984612889193,1.299811189947968,-0.20615165257004503,-0.19979984612889193
27,54,1774265771.529362,1.36052418406241,-0.20692697366970492,-0.2151842986415292,1.36052418406241,-0.20692697366970492,-0.2151842986415292
