processed_index,scan_index,timestamp,original_x,original_y,original_theta,optimized_x,optimized_y,optimized_theta
0,0,1774268091.893148,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1774268092.123623,2.857083038626883,-0.4619460160260611,1.8024853348372967,2.857083038583451,-0.46194601601714047,1.8024853351106698
2,4,1774268092.249627,2.83230490765311,-0.44545696550602903,1.8040389135653248,2.8323049076030107,-0.44545696550716907,1.804038913852267
3,6,1774268092.426284,2.900781734064326,-0.43997952042716965,1.8045386054058727,2.9007817340104203,-0.43997952041101873,1.8045386057063841
4,8,1774268092.603008,2.8850609646398175,-0.4230929004940528,1.8578121570341004,2.885060964578374,-0.4230929004851973,1.8578121573481807
5,10,1774268092.779486,2.8978795454239608,-0.4315515475621446,1.8699098387830482,2.8978795453628243,-0.43155154755166036,1.8699098391106976
6,12,1774268092.953946,2.9271406092834975,-0.414904697391699,1.8791601310005133,2.9271406092143324,-0.4149046973736276,1.879160131341732
7,14,1774268093.129109,2.9101882840639908,-0.43622340738206394,1.8922934367722175,2.9101882839998146,-0.43622340737200727,1.8922934371270053
8,16,1774268093.30479,2.9983125006764264,-0.4240070756662754,1.9487778650239693,2.9983125006054645,-0.4240070756259878,1.9487778653923262
9,18,1774268093.479952,2.9844728222869588,-0.42389722951476927,1.9068274447422637,2.9844728222135037,-0.42389722948080194,1.9068274451241898
10,20,1774268093.654168,3.0162903852514535,-0.43943170136774184,1.9216647153658555,3.01629038518169,-0.43943170132241305,1.9216647157613505
11,22,1774268093.829859,3.029333720666604,-0.45040386824941137,1.9457086662754615,3.0293337205990865,-0.4504038681995376,1.9457086666845256
12,24,1774268094.004902,2.966826521667143,-0.4283328757397026,1.9266009991169117,2.9668265215882044,-0.42833287571685996,1.926600999539545
13,26,1774268094.179011,3.0346087427528747,-0.4247261897103216,1.9289244212769787,3.0346087426699704,-0.4247261896593739,1.9289244217131811
14,28,1774268094.353076,2.9903124864599384,-0.46434574007221496,1.890527191756802,2.9903124863924124,-0.46434574004173246,1.8905271922065736
15,30,1774268094.527083,2.9676278599427492,-0.46316854534786805,1.8789353111593872,2.967627859872774,-0.4631685453290393,1.8789353116227279
16,32,1774268094.700039,3.00102218594126,-0.44585607709786823,1.9164987919471161,3.0010221858611086,-0.44585607706456426,1.916498792424026
17,34,1774268094.874171,2.9878516995239996,-0.454438230568171,1.8926585168421846,2.987851699445903,-0.4544382305423246,1.8926585173326635
18,36,1774268095.049504,2.96582985995911,-0.4373843998705422,1.89801958426042,2.9658298598703787,-0.43738439985697225,1.8980195847644679
19,38,1774268095.224392,2.9691190375661427,-0.44603426124257456,1.8985104033503688,2.969119037479619,-0.4460342612287773,1.8985104038679859
20,40,1774268095.399499,2.9723064202548333,-0.4720465927903501,1.8858249061250352,2.972306420179975,-0.4720465927762904,1.8858249066562214
21,42,1774268095.574426,3.10742191001097,-0.4446158498495985,1.958323725049276,3.107421909919369,-0.4446158497633213,1.9583237255940313
22,44,1774268095.749864,3.0663149096984155,-0.4403487462993559,1.9561275873359878,3.066314909604087,-0.4403487462354148,1.9561275878826139
23,46,1774268095.92365,3.0735336647589264,-0.45021036463832725,1.9807678602523642,3.073533664669604,-0.4502103645703696,1.980767860800861
24,48,1774268096.098187,3.0724273075492525,-0.4437939032364353,2.0038298780044292,3.0724273074560142,-0.44379390316901596,2.0038298785547966
25,50,1774268096.271439,3.10179298466209,-0.44447369181739776,1.9960613940901049,3.10179298456883,-0.44447369173369305,1.9960613946423431
26,52,1774268096.44534,3.081566451345232,-0.47376623108081484,2.0091972425462807,3.081566451267808,-0.4737662310081944,2.00919724310039
27,54,1774268096.618986,3.0773537843501955,-0.4859670413052371,1.986819238985062,3.0773537842792145,-0.4859670412348732,1.9868192395410418
28,56,1774268096.792189,3.106854234839511,-0.4925835337949086,1.9762117840575473,3.106854234771903,-0.4925835337080101,1.9762117846153977
29,58,1774268096.966606,3.1191493528105583,-0.4935989424820221,1.9700404184390097,3.1191493527432135,-0.4935989423881088,1.9700404189987308
30,60,1774268097.139646,3.123758991753614,-0.48370429812662313,1.9756630805055355,3.123758991680409,-0.4837042980299652,1.9756630810671274
31,62,1774268097.313681,3.0851903650747685,-0.5014549419025774,1.9627863380951753,3.0851903650112433,-0.501454941827487,1.962786338658638
32,64,1774268097.488253,3.122130774470039,-0.4828088776941784,1.964534866832515,3.122130774395684,-0.4828088775981118,1.9645348673978484
33,66,1774268097.661976,3.120165337886542,-0.48451536227009445,1.9636582798938846,3.120165337812831,-0.48451536217498115,1.963658280461089
34,68,1774268097.83553,3.140572956670716,-0.47329288243179246,1.9768778701532603,3.1405729565902982,-0.47329288232490785,1.976877870722335
35,70,1774268098.00942,3.1353337636973886,-0.4470299127715908,1.9709469455868702,3.1353337636016345,-0.44702991266750153,1.9709469461578157
36,72,1774268098.183348,3.0704037269857754,-0.4851849873246014,1.9551227435124063,3.0704037269114863,-0.4851849872575189,1.9551227440852226
37,74,1774268098.35775,3.1146242206323023,-0.48339998782973675,1.9690645103237079,3.114624220556668,-0.4833999877371766,1.9690645108983948
38,76,1774268098.531512,3.0916637357771943,-0.4905422918184203,1.9616628958839437,3.091663735705356,-0.49054229173895064,1.9616628964605014
39,78,1774268098.704604,3.130335319558324,-0.49056097329352555,1.9689287104410722,3.130335319486187,-0.49056097319158265,1.9689287110195004
40,80,1774268098.876728,3.093991534372341,-0.5045322306617113,1.9730640060342388,3.0939915343080022,-0.5045322305806819,1.973064006614538
41,82,1774268099.049788,3.106471097951237,-0.4923205935045061,1.9934520285148145,3.1064710978795063,-0.49232059341610246,1.9934520290969842
42,84,1774268099.222432,3.0846185070705525,-0.49678524649678735,1.9991975718307637,3.084618507001123,-0.49678524642101435,1.9991975724148043
43,86,1774268099.395694,3.0903485037666627,-0.49115531902194703,2.0110871142784714,3.090348503693637,-0.4911553189427254,2.0110871148643827
44,88,1774268099.568544,3.0851494912555797,-0.49194188767358554,2.0050170140783865,3.0851494911827086,-0.4919418875973178,2.0050170146661683
45,90,1774268099.741236,3.111207256419011,-0.4918788064486858,2.0077716940677397,3.1112072563457964,-0.4918788063569607,2.0077716946573925
46,92,1774268099.913525,3.1110023748471085,-0.48342498750838686,2.0164018249386957,3.111002374768586,-0.48342498741664186,2.016401825530219
47,94,1774268100.085229,3.0804790613795934,-0.4950984800682929,2.0275946707204566,3.080479061307676,-0.4950984799945195,2.027594671313851
48,96,1774268100.257859,3.094733424311908,-0.48161018667774735,2.0356427531817545,3.0947334242316606,-0.4816101865954053,2.0356427537770196
49,98,1774268100.430459,3.087833661973366,-0.483101820293503,2.0420173165152704,3.0878336618936832,-0.4831018202151708,2.042017317112406
50,100,1774268100.603977,3.1002449251607507,-0.4719371301162656,2.052213245444722,3.1002449250740574,-0.47193713003040155,2.052213246043728
51,102,1774268100.77768,3.078056218963732,-0.47987811815148407,2.0527795650060012,3.078056218881466,-0.4798781180788321,2.052779565606878
52,104,1774268100.952594,3.0924449056887613,-0.48650567400941824,2.058548917408891,3.0924449056101606,-0.4865056739280145,2.0585489180116388
53,106,1774268101.126,3.094783448355349,-0.48351358450944615,2.0564879158193445,3.094783448274623,-0.48351358442652254,2.056487916423963
54,108,1774268101.30026,3.0881748631416337,-0.48771359519838275,2.0393686328235883,3.0881748630631325,-0.48771359511935686,2.0393686334300773
55,110,1774268101.47389,3.103267621456693,-0.49606644733801036,2.0150086329305372,3.1032676213829586,-0.4960664472497046,2.0150086335388973
